#
# deme-tri.data
#
# deme statistics, for the case of 1+2+3 simplex exploration, with
# 40 new instances per simplex, and mandatory refresh every 10
# generations.  This variant does not try any further after a
# no-improvment failure.
#
# Taken from the nn13 logfiles.
#
# deme_count	iteration	total_steps	total_evals	new_instances	num_instances	has_improved	best_weighted_score	delta_weighted	best_raw	delta_raw	complexity
 49	1	155	156675	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 49	2	156	160293	3618	3619	0	-110.861	0.222221	-118.25	0	85
 50	1	157	160294	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 50	2	158	163296	3002	3003	0	-110.861	0	-118.25	0	85
 51	1	159	163297	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 51	2	160	166609	3312	3313	0	-110.861	0.222221	-118.25	0	85
 52	1	161	166610	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 52	2	162	170306	3696	3697	0	-110.861	0.222221	-118.25	0	85
 53	1	163	170307	1	1	1	-114.972	3.40282e+38	-123.25	3.40282e+38	86
 53	2	164	173543	3236	3237	1	-110.861	4.11111	-118.25	5	85
 53	3	165	173663	120	3357	0	-110.861	0	-118.25	0	85
 54	1	166	173664	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 54	2	167	177282	3618	3619	0	-110.861	0	-118.25	0	85
 55	1	168	177283	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 55	2	169	180131	2848	2849	0	-110.861	0	-118.25	0	85
 56	1	170	180132	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 56	2	171	183674	3542	3543	0	-110.861	0.222221	-118.25	0	85
 57	1	172	183675	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 57	2	173	187139	3464	3465	0	-110.861	0.222221	-118.25	0	85
 58	1	174	187140	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 58	2	175	190450	3310	3311	0	-110.861	0	-118.25	0	85
 59	1	176	190451	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 59	2	177	193917	3466	3467	0	-110.861	0	-118.25	0	85
 60	1	178	193918	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 60	2	179	197076	3158	3159	0	-110.861	0	-118.25	0	85
 61	1	180	197077	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 61	2	181	199925	2848	2849	0	-110.861	0	-118.25	0	85
 62	1	182	199926	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 62	2	183	202930	3004	3005	0	-110.861	0	-118.25	0	85
 63	1	184	202931	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 63	2	185	206317	3386	3387	0	-110.861	0	-118.25	0	85
 64	1	186	206318	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 64	2	187	209940	3622	3623	0	-110.861	0.222221	-118.25	0	85
 65	1	188	209941	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 65	2	189	213327	3386	3387	0	-110.861	0.222221	-118.25	0	85
 66	1	190	213328	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 66	2	191	216484	3156	3157	0	-110.861	0	-118.25	0	85
 67	1	192	216485	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 67	2	193	219721	3236	3237	0	-110.861	0	-118.25	0	85
 68	1	194	219722	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 68	2	195	223340	3618	3619	0	-110.861	0.222221	-118.25	0	85
 69	1	196	223341	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 69	2	197	226497	3156	3157	0	-110.861	0	-118.25	0	85
 70	1	198	226498	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 70	2	199	229808	3310	3311	0	-110.861	0	-118.25	0	85
 71	1	200	229809	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 71	2	201	232965	3156	3157	0	-110.861	0	-118.25	0	85
 72	1	202	232966	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 72	2	203	236276	3310	3311	0	-110.861	0.222221	-118.25	0	85
 73	1	204	236277	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 73	2	205	239355	3078	3079	0	-110.861	0	-118.25	0	85
 74	1	206	239356	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 74	2	207	242666	3310	3311	0	-110.861	0.222221	-118.25	0	85
 75	1	208	242667	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 75	2	209	245593	2926	2927	0	-110.861	0	-118.25	0	85
 76	1	210	245594	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 76	2	211	249290	3696	3697	0	-110.861	0.222221	-118.25	0	85
 77	1	212	249291	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 77	2	213	252449	3158	3159	0	-110.861	0	-118.25	0	85
 78	1	214	252450	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 78	2	215	255454	3004	3005	0	-110.861	0.222221	-118.25	0	85
 79	1	216	255455	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 79	2	217	258687	3232	3233	0	-110.861	0.222221	-118.25	0	85
 80	1	218	258688	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 80	2	219	261844	3156	3157	0	-110.861	0.222221	-118.25	0	85
 81	1	220	261845	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 81	2	221	264771	2926	2927	0	-110.861	0	-118.25	0	85
 82	1	222	264772	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 82	2	223	267852	3080	3081	0	-110.861	0	-118.25	0	85
 83	1	224	267853	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 83	2	225	271165	3312	3313	0	-110.861	0.222221	-118.25	0	85
 84	1	226	271166	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 84	2	227	274014	2848	2849	0	-110.861	0	-118.25	0	85
 85	1	228	274015	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 85	2	229	277403	3388	3389	0	-110.861	0.222221	-118.25	0	85
 86	1	230	277404	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 86	2	231	280792	3388	3389	0	-110.861	0.222221	-118.25	0	85
 87	1	232	280793	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 87	2	233	284411	3618	3619	0	-110.861	0	-118.25	0	85
 88	1	234	284412	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 88	2	235	287878	3466	3467	0	-110.861	0	-118.25	0	85
 89	1	236	287879	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 89	2	237	291345	3466	3467	0	-110.861	0.222221	-118.25	0	85
 90	1	238	291346	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 90	2	239	294810	3464	3465	0	-110.861	0.222221	-118.25	0	85
 91	1	240	294811	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 91	2	241	298197	3386	3387	0	-110.861	0.222221	-118.25	0	85
 92	1	242	298198	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
